city,sna,sarea,tot_quantity,sbi_quantity,bemp,lat,lng,update_time_display,load_factor,status_color,scrape_time
New Taipei,YouBike2.0_下庄市場,八里區,20,7,13,25.14678,121.3999,20260615T210703,35.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里行政中心,八里區,20,5,13,25.15397,121.40721,20260615T201603,25.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里中庄市場綜合大樓,八里區,28,14,14,25.15993,121.41407,20260615T205103,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_大崁國小,八里區,20,7,13,25.16064,121.41938,20260615T204103,35.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍形停車場,八里區,40,3,37,25.13041,121.4513,20260615T211102,7.5,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_十三行博物館,八里區,46,3,43,25.157,121.406,20260615T211102,6.521739130434782,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里區民活動中心,八里區,14,4,9,25.14933,121.40126,20260615T210403,28.57142857142857,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_挖仔尾自然生態保留區,八里區,15,4,11,25.16419,121.41586,20260615T205103,26.666666666666668,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_文昌公園,八里區,15,3,12,25.15709,121.41033,20260615T203504,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里國小,八里區,15,8,7,25.14896,121.4026,20260615T202802,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里文化公園(棒球場),八里區,60,19,41,25.16359,121.41251,20260615T211004,31.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_水興公,八里區,15,8,6,25.16208,121.42509,20260615T210302,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_片仔溝公園,八里區,20,11,7,25.1502,121.40581,20260615T203602,55.00000000000001,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里福朋喜來登酒店,八里區,30,1,28,25.15922,121.42945,20260615T203602,3.3333333333333335,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_訊塘社區公園,八里區,13,6,7,25.1455,121.39609,20260615T201203,46.15384615384615,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_商港公園(商港八商港一路口),八里區,15,6,8,25.15039,121.40026,20260615T204103,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_商港公園(商港七商港一路口),八里區,15,4,10,25.14916,121.39841,20260615T210703,26.666666666666668,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_渡船頭平面停車場,八里區,33,7,26,25.15687,121.43527,20260615T203004,21.21212121212121,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_訊塘廣場(義民中華路口),八里區,21,7,14,25.14256,121.39564,20260615T201203,33.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里停五平面停車場,八里區,30,10,20,25.15779,121.41758,20260615T210302,33.33333333333333,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_頂罟公園,八里區,15,7,8,25.1533,121.40413,20260615T200404,46.666666666666664,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_狀元公園,八里區,20,7,12,25.1545,121.41036,20260615T203803,35.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_商港三頂罟二路口,八里區,25,8,17,25.15333,121.40168,20260615T204103,32.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_商港六商港三路口,八里區,15,6,9,25.14968,121.39589,20260615T210704,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_訊庄埔公園,八里區,15,6,9,25.14244,121.39222,20260615T194603,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里左岸自行車道(4.4K福德宮),八里區,15,8,7,25.14315,121.44789,20260615T211304,53.333333333333336,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_中山賢一街口,八里區,17,3,14,25.15916,121.42144,20260615T195904,17.647058823529413,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_商港一十三行路口,八里區,30,3,27,25.15483,121.40558,20260615T203602,10.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_龍米路二段205巷口,八里區,22,3,19,25.1585,121.43231,20260615T193504,13.636363636363635,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_八里文昌五街,八里區,16,8,8,25.15592,121.41342,20260615T203602,50.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_淺水灣,三芝區,48,0,0,25.25232,121.47131,20260615T191902,0.0,red,2026-06-15 21:17:53
New Taipei,YouBike2.0_三芝國中,三芝區,14,6,3,25.25898,121.50182,20260615T210603,42.857142857142854,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_櫻花水車公園,三芝區,15,3,12,25.25119,121.50125,20260615T210302,20.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三芝兒一公園,三芝區,15,9,6,25.25719,121.4994,20260615T184902,60.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三芝區公所,三芝區,15,6,9,25.25788,121.50082,20260615T204503,40.0,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_馬偕醫學大學(第二教研大樓),三芝區,26,15,11,25.25303,121.49559,20260615T185203,57.692307692307686,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_馬偕醫學大學(圓環),三芝區,20,11,9,25.25438,121.49571,20260615T192602,55.00000000000001,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三芝兒三公園(三民街),三芝區,17,4,13,25.25874,121.50499,20260615T205702,23.52941176470588,green,2026-06-15 21:17:53
New Taipei,YouBike2.0_三生步道,三芝區,20,0,0,25.26815,121.51005,20260615T180115,0.0,red,2026-06-15 21:17:53
